"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-09-08 11:42:51",1757331771068,"cti-bcca2plv2-pentoshi007s-projects.vercel.app/favicon.png","GET","",-1,"qrgmj-1757331771017-ebf35598d47b","vercel-favicon/1.0","info","production","main","","lambda","/api/index.py","cti-bcca2plv2-pentoshi007s-projects.vercel.app","cti-bcca2plv2-pentoshi007s-projects.vercel.app","dpl_7wrU3z5XZL3Z2hdQNuEKPF1WTUSG",-1,"iad1",-1,-1,"127.0.0.1 - - [08/Sep/2025 11:42:51] ""GET /favicon.png HTTP/1.1"" 404 -","prj_1KjmB5cqnHGba1z55lptjEwv3VBd","","","01K4MJ5KNH8MM7J0EZ1WCX2JS0","",-1
"2025-09-08 11:42:51",1757331771057,"cti-bcca2plv2-pentoshi007s-projects.vercel.app/favicon.png","GET","",404,"qrgmj-1757331771017-ebf35598d47b","vercel-favicon/1.0","warning","production","main","","lambda","/api/index.py","cti-bcca2plv2-pentoshi007s-projects.vercel.app","cti-bcca2plv2-pentoshi007s-projects.vercel.app","dpl_7wrU3z5XZL3Z2hdQNuEKPF1WTUSG",4,"iad1",82,2048,"","prj_1KjmB5cqnHGba1z55lptjEwv3VBd","","","01K4MJ5KNH8MM7J0EZ1WCX2JS0","cbDfcc64pfvW",1
"2025-09-08 11:42:50",1757331770974,"cti-bcca2plv2-pentoshi007s-projects.vercel.app/favicon.ico","GET","",-1,"hmrtm-1757331770920-2d6d73ea5044","vercel-favicon/1.0","info","production","main","","lambda","/api/index.py","cti-bcca2plv2-pentoshi007s-projects.vercel.app","cti-bcca2plv2-pentoshi007s-projects.vercel.app","dpl_7wrU3z5XZL3Z2hdQNuEKPF1WTUSG",-1,"iad1",-1,-1,"127.0.0.1 - - [08/Sep/2025 11:42:50] ""GET /favicon.ico HTTP/1.1"" 404 -","prj_1KjmB5cqnHGba1z55lptjEwv3VBd","","","01K4MJ5KJFTM8C7V2KKD5SW7TS","",-1
"2025-09-08 11:42:50",1757331770959,"cti-bcca2plv2-pentoshi007s-projects.vercel.app/favicon.ico","GET","",404,"hmrtm-1757331770920-2d6d73ea5044","vercel-favicon/1.0","warning","production","main","","lambda","/api/index.py","cti-bcca2plv2-pentoshi007s-projects.vercel.app","cti-bcca2plv2-pentoshi007s-projects.vercel.app","dpl_7wrU3z5XZL3Z2hdQNuEKPF1WTUSG",4,"iad1",82,2048,"","prj_1KjmB5cqnHGba1z55lptjEwv3VBd","","","01K4MJ5KJFTM8C7V2KKD5SW7TS","cbDfcc64pfvW",1
"2025-09-08 11:42:50",1757331770577,"cti-bcca2plv2-pentoshi007s-projects.vercel.app/","GET","",-1,"hmrtm-1757331770515-188e7e704e02","vercel-favicon/1.0","info","production","main","","lambda","/api/index.py","cti-bcca2plv2-pentoshi007s-projects.vercel.app","cti-bcca2plv2-pentoshi007s-projects.vercel.app","dpl_7wrU3z5XZL3Z2hdQNuEKPF1WTUSG",-1,"iad1",-1,-1,"127.0.0.1 - - [08/Sep/2025 11:42:50] ""GET / HTTP/1.1"" 500 -","prj_1KjmB5cqnHGba1z55lptjEwv3VBd","","","01K4MJ5K634KJG552P134B57TE","",-1
"2025-09-08 11:42:50",1757331770577,"cti-bcca2plv2-pentoshi007s-projects.vercel.app/","GET","",-1,"hmrtm-1757331770515-188e7e704e02","vercel-favicon/1.0","info","production","main","","lambda","/api/index.py","cti-bcca2plv2-pentoshi007s-projects.vercel.app","cti-bcca2plv2-pentoshi007s-projects.vercel.app","dpl_7wrU3z5XZL3Z2hdQNuEKPF1WTUSG",-1,"iad1",-1,-1,"NameError: name 'e' is not defined","prj_1KjmB5cqnHGba1z55lptjEwv3VBd","","","01K4MJ5K634KJG552P134B57TE","",-1
"2025-09-08 11:42:50",1757331770577,"cti-bcca2plv2-pentoshi007s-projects.vercel.app/","GET","",-1,"hmrtm-1757331770515-188e7e704e02","vercel-favicon/1.0","info","production","main","","lambda","/api/index.py","cti-bcca2plv2-pentoshi007s-projects.vercel.app","cti-bcca2plv2-pentoshi007s-projects.vercel.app","dpl_7wrU3z5XZL3Z2hdQNuEKPF1WTUSG",-1,"iad1",-1,-1,"File ""/var/task/api/index.py"", line 147, in error
    ""message"": str(e),
                   ^","prj_1KjmB5cqnHGba1z55lptjEwv3VBd","","","01K4MJ5K634KJG552P134B57TE","",-1
"2025-09-08 11:42:50",1757331770577,"cti-bcca2plv2-pentoshi007s-projects.vercel.app/","GET","",-1,"hmrtm-1757331770515-188e7e704e02","vercel-favicon/1.0","info","production","main","","lambda","/api/index.py","cti-bcca2plv2-pentoshi007s-projects.vercel.app","cti-bcca2plv2-pentoshi007s-projects.vercel.app","dpl_7wrU3z5XZL3Z2hdQNuEKPF1WTUSG",-1,"iad1",-1,-1,"File ""/var/task/flask/app.py"", line 1469, in dispatch_request
    return self.ensure_sync(self.view_functions[rule.endpoint])(**view_args)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^","prj_1KjmB5cqnHGba1z55lptjEwv3VBd","","","01K4MJ5K634KJG552P134B57TE","",-1
"2025-09-08 11:42:50",1757331770577,"cti-bcca2plv2-pentoshi007s-projects.vercel.app/","GET","",-1,"hmrtm-1757331770515-188e7e704e02","vercel-favicon/1.0","error","production","main","","lambda","/api/index.py","cti-bcca2plv2-pentoshi007s-projects.vercel.app","cti-bcca2plv2-pentoshi007s-projects.vercel.app","dpl_7wrU3z5XZL3Z2hdQNuEKPF1WTUSG",-1,"iad1",-1,-1,"ERROR:api.index:Exception on / [GET]","prj_1KjmB5cqnHGba1z55lptjEwv3VBd","","","01K4MJ5K634KJG552P134B57TE","",-1
"2025-09-08 11:42:50",1757331770577,"cti-bcca2plv2-pentoshi007s-projects.vercel.app/","GET","",-1,"hmrtm-1757331770515-188e7e704e02","vercel-favicon/1.0","info","production","main","","lambda","/api/index.py","cti-bcca2plv2-pentoshi007s-projects.vercel.app","cti-bcca2plv2-pentoshi007s-projects.vercel.app","dpl_7wrU3z5XZL3Z2hdQNuEKPF1WTUSG",-1,"iad1",-1,-1,"File ""/var/task/flask/app.py"", line 1484, in full_dispatch_request
    rv = self.dispatch_request()
         ^^^^^^^^^^^^^^^^^^^^^^^","prj_1KjmB5cqnHGba1z55lptjEwv3VBd","","","01K4MJ5K634KJG552P134B57TE","",-1
